symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2019-03-25 00:00:00+00:00,260.42,263.18,254.46,259.71,10215000,52.084,52.636,50.892,51.942,51075000,0.0,1.0
TSLA,2019-03-26 00:00:00+00:00,267.77,270.26,264.43,264.44,7350900,53.554,54.052,52.886,52.888,36754500,0.0,1.0
TSLA,2019-03-27 00:00:00+00:00,274.83,275.37,268.18,268.75,8779200,54.966,55.074,53.636,53.75,43896000,0.0,1.0
TSLA,2019-03-28 00:00:00+00:00,278.62,280.33,275.1,277.16,6774100,55.724,56.066,55.02,55.432,33870500,0.0,1.0
TSLA,2019-03-29 00:00:00+00:00,279.86,280.16,274.5,278.7,5991300,55.972,56.032,54.9,55.74,29956500,0.0,1.0
TSLA,2019-04-01 00:00:00+00:00,289.18,289.2,281.28,282.62,8110400,57.836,57.84,56.256,56.524,40552000,0.0,1.0
TSLA,2019-04-02 00:00:00+00:00,285.88,289.44,283.88,288.3,5478900,57.176,57.888,56.776,57.66,27394500,0.0,1.0
TSLA,2019-04-03 00:00:00+00:00,291.81,296.17,287.17,287.32,7929900,58.362,59.234,57.434,57.464,39649500,0.0,1.0
TSLA,2019-04-04 00:00:00+00:00,267.78,271.2,260.59,261.89,23720700,53.556,54.24,52.118,52.378,118603500,0.0,1.0
TSLA,2019-04-05 00:00:00+00:00,274.96,276.1,266.11,269.86,13038300,54.992,55.22,53.222,53.972,65191500,0.0,1.0
TSLA,2019-04-08 00:00:00+00:00,273.2,281.16,270.44,277.69,10410400,54.64,56.232,54.088,55.538,52052000,0.0,1.0
TSLA,2019-04-09 00:00:00+00:00,272.31,275.0,269.61,271.65,5904000,54.462,55.0,53.922,54.33,29520000,0.0,1.0
TSLA,2019-04-10 00:00:00+00:00,276.06,278.38,272.89,276.74,7061300,55.212,55.676,54.578,55.348,35306500,0.0,1.0
TSLA,2019-04-11 00:00:00+00:00,268.42,270.5,265.6,268.3,9835900,53.684,54.1,53.12,53.66,49179500,0.0,1.0
TSLA,2019-04-12 00:00:00+00:00,267.7,271.95,266.83,270.22,6746000,53.54,54.39,53.366,54.044,33730000,0.0,1.0
